Name,City,State,Postal Code,Latitude,Longitude,Floorsize,Url,Price,Home Type,Perks,Listing Overview,Bedrooms,Bathrooms,User Views,User Saves,Days on Website,First Floor Dimensions,Flooring,Heating features,Cooling features,Appliances included,Interior features,Parking features,Number of Stories,Lot Size (sqft),Parcel Number,Architectural Style,Home Types,Year built,Sewer Information,Security features,Sub Division,Buyer Agency Compensation,Second Floor Dimensions,Total Parking Spaces,Garage Parking Spaces,Covered Parking Spaces,Community features,Carport Parking Spaces,Basement Dimensions,Third Floor Dimensions,Laundry features,Additional Structures,HOA Status,HOA Fee (monthly),Window Features,Interior Features,Indoor air quality,Water conservation,Construction elements,Lot features
2950 Mckinney Ave Apt 320,Dallas,TX,75204,32.80072,-96.80049,806,https://www.zillow.com/homedetails/2950-McKinney-Ave-APT-320-Dallas-TX-75204/80228268_zpid/,299000,Condo,Modern style cabinetsLuxurious condoGorgeous condoSoft contemporary tonesLuxurious bedroomHuge walk-in closetFlat screen tv door,"Gorgeous condo in the heart of Uptown Dallas! Elegance & sophistication embody this luxurious condo, showcasing track lighting, chandeliers, beautiful flooring, and soft contemporary tones throughout. The kitchen is a chef's dream, boasting modern style cabinets, stainless steel appliances, under cabinet lighting, and a center island with a breakfast bar. The living room is the perfect setting for relaxation, boasting wiring for a flat screen TV door that takes you to the balcony where you can enjoy a morning cup of coffee or an evening glass of wine. The luxurious bedroom features a huge walk-in closet, and an exceptional walk-in shower with a seat and tub. This is a rare opportunity to own a low-maintenance, high-end property, close to tons of shopping, dining, entertainment and public markets & parks. Schedule your showing today!Chevron DownShow more",1, ,3562,174,74 , 19 x 16,Tile,"Central, Electric",Central Air,"Dishwasher, Electric Range, Disposal, Microwave",,,1,805.86 ,00C46280000000320, TraditionalProperty ,Condo,2006," Sewer Available, Water Available, Cable Available",,Mercer Square Condos,3%,,1,1,1,Pool,,,, In Kitchen,,Yes,417.0,Window Coverings," Chandelier, Decorative/Designer Lighting Fixtures, High Speed Internet, Kitchen Island, Open Floorplan, Cable TV, Walk-In Closet(s), Wired for Sound",,,,
9484 Timberleaf Dr,Dallas,TX,75243,32.90617,-96.73340999999999,1930,https://www.zillow.com/homedetails/9484-Timberleaf-Dr-Dallas-TX-75243/26869494_zpid/,354900,House,Designer finishesBerber carpetLarge home officeFlex spaceBeautiful lake highlands neighborhoodLarge spaLarge master bedroom,"WHAT MORE COULD YOU ASK FOR. AT OVER 1900 SF, THIS TOWNHOME IS COMPLETELY TURN-KEY AND HAS BEEN RENOVATED WITH LUXURY WOOD PLANK VINYL FLOORING, BERBER CARPET AND CUSTOM KITCHEN CABINETS. IT BOASTS 3 BEDROOMS, 2.5 BATHS, A RARE 2-CAR GARAGE AND A FLEX SPACE THAT COULD BE A GAME,FAMILY ROOM OR A LARGE HOME OFFICE. YOU GET TO CHOOSE. IT HAS A LARGE OPEN KITCHEN WITH A SPACIOUS ISLAND THAT IS PERFECT FOR ENTERTAINING, GENEROUS LIVING AREA, DINING AREA, LARGE MASTER BEDROOM WITH A LARGE SPA LIKE ENSUITE BATHROOM THAT BOASTS A LARGE FREE STANDING SOAKING TUB, OVERSIZED 90 DEGREE GLASS ENCLOSED SHOWER WITH LARGE RAINFALL SHOWER HEAD, SPACIOUS SECONDARY BEDROOMS AND RENOVATED SECONDARY BATHROOM WITH DESIGNER FINISHES AND LARGE GLASS ENCLOSED SHOWER WITH AN OVERSIZED RAINFALL SHOWER HEAD. IN A BEAUTIFUL LAKE HIGHLANDS NEIGHBORHOOD, RISD SCHOOL DISTRICT, AND MINUTES AWAY FROM GALLERIA AND NORTHPARK MALL THIS HOME IS AN ABSOLUTE GEM AND PRICED TO SELL QUICKLY
MONTHLY HOA IS $160 PER MONTH!Chevron DownShow more",3,3,2669,174,52 , 18 x 13,"Carpet, Luxury Vinyl Plank",Central,"Attic Fan, Central Air","Dishwasher, Electric Oven, Electric Range, Disposal","Eat-in Kitchen, Granite Counters",,2,3049 ,0000079216090000, TraditionalProperty ,SingleFamily,1971," Sewer Available, Water Available",,Timberleaf Lane Twnhms,3%,,2,2,2,Pool,,,,,,Yes,164.0,,,,,,
1901 Beach Dr,Dallas,TX,75051,32.71833,-96.97639000000001,2080,https://www.zillow.com/homedetails/1901-Beach-Dr-Dallas-TX-75051/96497599_zpid/,375000,House,Spacious floor planCovered porchCozy family roomPicnic areasSeparate showerUpdated en suite bathVast backyard,"Gorgeous home for sale in a serene and quiet neighborhood, steps away from Mountain Creek Lake & Mi Familia Park! Residents can relish the natural beauty & recreational opportunities with pavilions, picnic areas, playground & walking trails! Home sits on a corner lot with manicured front lawn & covered porch with sitting area add to the beautiful curb appeal. Step inside to discover an incredibly spacious floor plan, with the first level offering a well appointed kitchen with stainless steel appliances, cozy family room, 2 dining areas & a convenient half bath. Upstairs, a spacious game room awaits, large primary bed with updated en suite bath complete with a luxurious garden tub, separate shower & double vanities. Three generously sized secondary beds provide ample space for all, hall bath & laundry room upstairs for convenience. Outside, you will find a huge covered patio perfect for entertaining in the vast backyard with tons of space for playing & enjoying the outdoors! Must see!Chevron DownShow more",4,3,1850,123,33 , 10 x 14,"Carpet, Ceramic Tile","Central, Electric","Central Air, Electric","Dishwasher, Electric Range, Electric Water Heater, Disposal, Microwave","Central Vacuum, Decorative/Designer Lighting Fixtures, Double Vanity, High Speed Internet, Pantry, Walk-In Closet(s), Wired for Sound",,2,7318 ,0061131064D230000," Traditional , DetachedProperty ",SingleFamily,2011," Electricity Connected, Sewer Available, Water Available","Prewired, Security System Leased, Fire Alarm, Smoke Detector(s)",Mountain Crk Lake Instl 2,3%, 10 x 10,2,2,2,"Curbs, Playground, Park, Sidewalks, Lake",,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,,,,,,
4570 Baystone Dr,Dallas,TX,75211,32.712379999999996,-96.895546,1170,https://www.zillow.com/homedetails/4570-Baystone-Dr-Dallas-TX-75211/26827550_zpid/,280000,House,Large patioWalk-in closetPrivate bathroomNew appliancesGranite countertopsMaster bedroomClose to schools,"This charming 3-bedroom, 2-bathroom home in Dallas, TX is the perfect place to call home. The home features a spacious living room with plenty of room to relax and entertain guests. The kitchen has been recently updated with new appliances and granite countertops. The master bedroom has its own private bathroom and walk-in closet. The backyard is fully fenced in and has a large patio, perfect for enjoying the outdoors. This home is located in a quiet neighborhood and is close to schools, shopping, and restaurants. It is also convenient to major highways and public transportation. Don't miss out on this opportunity to own this wonderful home! Schedule a showing today!Chevron DownShow more",3,2,1040,124,77 , 12 x 12,"Ceramic Tile, Laminate","Central, Electric","Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Range, Electric Water Heater, Disposal, Microwave",Decorative/Designer Lighting Fixtures,,1,7753 ,00000657421000000, DetachedProperty ,SingleFamily,1962," Sewer Available, Water Available",,Westhaven,3%,,2,2,2,,,,, In Kitchen,,,,,,,,,
9007 Flicker Ln,Dallas,TX,75238,32.871677000000005,-96.689316,1997,https://www.zillow.com/homedetails/9007-Flicker-Ln-Dallas-TX-75238/26851309_zpid/,509000,House,Beautiful wood floors throughoutFully remodeled homeAmple storageWaterfall edgeOversized lotOpen kitchenSoft-close cabinetry,"Oversized Lot! This incredible, fully remodeled home features an open kitchen with designer features like a waterfall edge, extended countertop seating, over looking the dining and living room with beautiful wood floors throughout! This incredible home features an open kitchen, dining, and living room with beautiful wood floors throughout. The chef's kitchen has ample storage with soft-close cabinetry, an electric stove, and a window over the sink, and easy access to the yard and patio makes it easy to entertain. This stunning residence is nestled in the desirable neighborhood of Lakeland Hills with an enclave of MCM's in the heart of Dallas and offers convenience and accessibility to the city's vibrant cultural scene, dining, shopping, and excellent schools.Chevron DownShow more",3,2,1095,76,37 ,,Laminate,Central,Central Air,"Electric Oven, Microwave",Walk-In Closet(s),Driveway,1,16988,00000738655000000," Ranch , DetachedProperty ",SingleFamily,1970, Sewer Available,,Lakeland Hills 02,2.5%,,,,,,,,,,,,,,,,,,
6217 E Lovers Ln,Dallas,TX,75214,32.851290000000006,-96.75678,1795,https://www.zillow.com/homedetails/6217-E-Lovers-Ln-Dallas-TX-75214/26748738_zpid/,590000,House,Fresh neutral paint throughoutCustom shelving systemNew windowsNew oak cabinetsSupply linesCentral marketCrown molding,"Wonderful ranch style home, on quarter acre tree shaded lot, with many updates. Property boasts wood floors through living areas, carpet in bedrooms, eat-in kitchen with granite counter tops, stainless steel appliances, gas range, new oak cabinets and tumbled marble backsplash. Fresh Neutral Paint Throughout, Ceiling Fans in Every Room, Crown Molding,  Two Living areas and a flowing floor plan. Convenient location to White Rock Lake, Central Market, North Park Mall, SMU and the numerous dining and shopping options along Greenville Ave. Energy conscious buyers will appreciate the new Windows, new smart HVAC system and improved attic insulation. Two closets in Master with Custom Shelving System. Slate covered Front Porch w Ext Lighting. This Home has an oversized  and landscaped Backyard with Pecans and Red Oaks. Lots of recent improvements in the last several years: roof, carpet, paint, drain and supply lines, wood fence, sprinkler system and more!Chevron DownShow more",3,2,1544,114,40 , 16 x 13,"Carpet, Ceramic Tile, Laminate","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Dishwasher, Disposal, Gas Range, Microwave, Plumbed For Gas, Wine Cooler",,,1,12632,00000394396000000," Traditional , DetachedProperty ",SingleFamily,1957," Electricity Available, Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",,North Hill Estates,3%,,2,2,2,"Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup",,,,Bay Window(s)," Built-in Features, Decorative/Designer Lighting Fixtures, Granite Counters, High Speed Internet, Cable TV",,,,
2323 Echo Lake Dr,Dallas,TX,75253,32.676212,-96.61761,1656,https://www.zillow.com/homedetails/2323-Echo-Lake-Dr-Dallas-TX-75253/96521219_zpid/,290000,House,Luxury laminate floorsOpen floor planCovered patioTall ceilingsTiled wet areasLandscaped front yard,"Beautiful new construction with an open floor plan and tall ceilings. All stainless steel appliances and luxury laminate floors, tiled wet areas, and all carpeted bedrooms. Total of 4 bedrooms and 2 full bathrooms, covered patio, and landscaped front yard. Close by multiple shopping districts and restaurants. Also near major freeways and hospitals. The buyer and buyer's representative are responsible for verifying all zoning, dimensions, and property information. The listing agent is related to the seller.


To view the property, kindly send a text message to the listing agent with the following details: - First and last name - License number - Date - Time Thank you.Chevron DownShow more",4,2,1457,143,31 , 1 x 1,Luxury Vinyl Plank,Central,"Central Air, Ceiling Fan(s)","Electric Range, Disposal, Microwave","Kitchen Island, Open Floorplan, Pantry, Walk-In Closet(s)",,1,7405 ,00000899766930000," Traditional , DetachedProperty ",SingleFamily,2023," Sewer Available, Water Available",Smoke Detector(s),Garden Heights Add Un 2 City Bl 5,3%,,1,1,1,Curbs,,,,,,,,,,,,,
10801 Branch Oaks Cir,Dallas,TX,75230,32.893475,-96.77785,3632,https://www.zillow.com/homedetails/10801-Branch-Oaks-Cir-Dallas-TX-75230/26839004_zpid/,1875000,House,Resort style backyardSoaring ceilingsZen gardenOutdoor eatingCustom cabinetsCovered patioSide patio,"A modern, timeless, custom built 1-story home in Preston Hollow. This stunning property is designed for the ultimate in entertainment with an open-concept layout that seamlessly blends indoor & outdoor living. Situated on a perfectly manicured corner lot with private back & side yards. 4 bedrooms + office. The spacious living areas are filled with natural lights & soaring ceilings, covered with the highest quality wood flooring, programmable blinds, RH custom draperies, and a 100” electric  fireplace with floor-to-ceiling stone facade wall. Chef’s kitchen features custom cabinets and commercial grade appliances that opens to the breakfast and side patio for outdoor eating & entertaining. Master bedroom looks out to a zen garden. First-class hotel style master bath has full view and access to the oasis pool. The resort style backyard features a heated pool, waterfall & spa, covered patio, towering palm trees, 8ft privacy fence, and electric gate that provides ample privacy.Chevron DownShow more",4,3,1587,83,50 , 13 x 14,"Ceramic Tile, Hardwood","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Built-In Refrigerator, Double Oven, Dishwasher, Disposal, Microwave, Plumbed For Gas, Range, Some Commercial Grade, Water Softener, Vented Exhaust Fan",,,1,13068,00000706437800000," Contemporary/Modern , DetachedProperty ",SingleFamily,1976," Sewer Available, Water Available",,Brookshire Park 6th Sec,3%,,2,2,2,Sidewalks,,,," Washer Hookup, Gas Dryer Hookup, Laundry in Utility Room",,,,Window Coverings," Built-in Features, Chandelier, Cathedral Ceiling(s), Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Kitchen Island, Open Floorplan, Smart Home, Walk-In Closet(s), Wired for Sound",,,,
511 N Akard St Apt 1502,Dallas,TX,75201,32.784042,-96.80067,1284,https://www.zillow.com/homedetails/511-N-Akard-St-APT-1502-Dallas-TX-75201/111960545_zpid/,615000,Condo,Private elevatorFlex spaceIndustrial condoAfrican mahogany wood floorsUtility roomRaised flower bedsBev cooler,"Unique Penthouse in the heart of Downtown Dallas featuring rooftop terrace.  Private elevator takes you up to penthouse floor w private terrace ftrg gas grill, bev cooler, raised flower beds, storage and enviable view of dwntwn Dallas Skyline.  Industrial condo w African Mahogany wood floors, well equipped kitchen w gas stove, granite countertops & w-in pantry. Living space has row of windows to bring in the natural light.  Primary bath features a japanese soaking tub + sep shower.  Utility room artfully situated bw primary bath & 2ndry bedroom, all w pocket doors.  2ndry bath holds a unique claw foot tub. The spiral staircase takes you to the terrace & surprise 3rd bedroom or flex space w ensuite european bath.  YMCA just next door, walking distance to ATT Performing Arts Center, Klyde Warren Park, ACC and Perot Museum.  This unit features 2 parking spaces - on in the gated garage and an assigned street level parking space. Storage area off terrace and 24hr concierge front desk.Chevron DownShow more",3,3,2426,125,52 , 5 x 12,"Laminate, Luxury Vinyl Plank, Tile",Central,"Central Air, Ceiling Fan(s)","Some Gas Appliances, Dishwasher, Disposal, Gas Oven, Gas Range, Gas Water Heater, Plumbed For Gas","Chandelier, Decorative/Designer Lighting Fixtures, Eat-in Kitchen, Granite Counters, High Speed Internet, Open Floorplan, Pantry",,1,38768,00C09970000001502,,,1958," Cable Available, Electricity Available, Sewer Available, Water Available",Security Guard,City Walk At Akard Condo,3%,,1,1,1,"Community Mailbox, Curbs",,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,Yes,685.0,,,,,,
3151 Kinkaid Dr,Dallas,TX,75220,32.877502,-96.87137,2329,https://www.zillow.com/homedetails/3151-Kinkaid-Dr-Dallas-TX-75220/26810370_zpid/,695000,House,Hardwood floors throughoutFrench doorsDual french doorsBack patioPrivate masterNew bathsPrivate backyard,"FULLY REMODELED - down to studs and up again - to create a modern OPEN FLOOR PLAN.  Private backyard with newly resurfaced and plastered SPARKLING POOL with shaded covered patio.  All new kitchen with GRANITE COUNTERS, upgraded PREMIUM STAINLESS APPLIANCES and open layout.  Cathedral ceiling in family with dual french doors to back patio and pool.  HARDWOOD FLOORS THROUGHOUT.  Stone wood burning GAS FIREPLACE with place for logs.  Fully enclosed and fenced private backyard with MOTORIZED GATE for driveway.  Four bedrooms - all on one floor.  Private Master with french doors to patio and pool with new windows overlooking pool.  NEW ROOF.  ALL NEW windows and window coverings.  ALL NEW baths with marble counters.  ALL NEW tubs, toilets, faucets, fixtures, fans, switches, wiring, electrical panel, doors, trim and paint.Chevron DownShow more",4,3,1819,128,19 ,,"Carpet, Ceramic Tile, Hardwood, Laminate, Tile","Central, Electric, Fireplace(s), Natural Gas","Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Dishwasher, Electric Oven, Gas Cooktop, Disposal, Microwave, Plumbed For Gas, Vented Exhaust Fan",,,1,9844 ,00000596200000000, DetachedProperty ,SingleFamily,1968," Cable Available, Natural Gas Available, Sewer Available, Separate Meters, Water Available","Fire Alarm, Smoke Detector(s)",Bradford Estates,3%,,2,2,2,"Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup, Gas Dryer Hookup, Laundry in Utility Room",,,,Window Coverings," Cathedral Ceiling(s), Dry Bar, Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Vaulted Ceiling(s), Walk-In Closet(s)",,,,
3921 Atlanta St,Dallas,TX,75215,32.75843,-96.76204,1711,https://www.zillow.com/homedetails/3921-Atlanta-St-Dallas-TX-75215/96504449_zpid/,349899,New construction,Gorgeous granitesLarge showerLight-filled large laundry roomStriking fireplaceBlack hardwareExline rec centerSliding doors,"CAN'T YOU JUST SEE YOURSELF LIVING IN ONE OF THESE SENSATIONAL NEW HOMES?  The exterior is an ultra cool combo of stucco, wood and siding!  Enjoy a one-car garage! Inside you will find gorgeous granites and quartz, fantastic tiles, black hardware and faucets and NO CARPET!  The first floor is open with  kitchen, dining room and living room,  all anchored by a striking fireplace, eye-catching built-in cabinet  and sliding doors to the back yard.  A guest bath is conveniently located on the first floor as well. The Primary bedroom with ensuite bath, double sinks and a large shower is on the second floor with 2 other good -sized bedrooms and  another bathroom.  The light-filled large laundry room with space for full size machines, is located on the second floor.  
Great location by the YMCA, Exline Rec Center, and Rice Elementary.
Make this great home yours now! 
UNDER CONSTRUCTION - COMPLETION BY THE END of JANUARY 2024.Chevron DownShow more",3,3,1541,126,33 , 0 x 0,"Luxury Vinyl Plank, Tile","Central, ENERGY STAR Qualified Equipment, Natural Gas","Central Air, Ceiling Fan(s), Zoned","Dishwasher, Electric Range, Electric Water Heater, Disposal, Microwave","Kitchen Island, Open Floorplan, Pantry, Cable TV, Walk-In Closet(s)",,2,2787 ,00000172294000000," Contemporary/Modern , Garden HomeProperty ",SingleFamily,," Sewer Available, Water Available, Cable Available","Carbon Monoxide Detector(s), Smoke Detector(s)",Oak Grove,3%, 0 x 0,1,1,1,,,,,,,,,,,,,,
8110 Max Dr,Dallas,TX,75249,32.659279999999995,-96.96661,3482,https://www.zillow.com/homedetails/8110-Max-Dr-Dallas-TX-75249/67963889_zpid/,470000,House,Private backyard oasisBelt lineShopping centersNew granite countertopsLake parkLuxurious primary bathroomLocated close to parks,"Nestled in a cul-de-sac with 3482 sq ft. of living space, this property is perfect for entertaining! Hosting has never been easier with new Samsung stainless appliances, a farmhouse sink, an abundance of granite counter space and cabinets, and a moveable kitchen island. The possibilities are endless with an upstairs that boasts a flexible living area and 3 bedrooms. You'll love the serene oasis that the backyard provides, with its stunning views of Emerald Lake Park, a beautiful 62.3-acre community park with trails and playground. The house has been meticulously maintained with numerous upgrades, including a closet designed by The Container Store, roof replaced in 2022, fence replaced in 2018, and one AC unit replaced in 2021. The property comes with a warranty and ADT monitoring through part of 2024, ensuring your peace of mind. Conveniently located near I-20, Belt Line, and Spur 408. You'll be 7-25 mins. from shopping and dining, Downtown Dallas, Duncanville, DFW Airport, and more!Chevron DownShow more",5,4,813,64,66 , 15 x 20,"Carpet, Hardwood, Tile",Central,"Central Air, Electric","Dishwasher, Electric Range, Microwave","Decorative/Designer Lighting Fixtures, Granite Counters, Pantry, Walk-In Closet(s)",,2,6621 ,008683000A0300000," Traditional , DetachedProperty ",SingleFamily,2004," Cable Available, Electricity Available, Sewer Available, Water Available",Security System Owned,Mountain Terrace Add,3%, 11 x 14,3,3,3,,,,, Laundry in Utility Room,,Yes,25.0,,,,,,
4682 Matilda St #c,Dallas,TX,75206,32.843540000000004,-96.766396,738,https://www.zillow.com/homedetails/4682-Matilda-St-C-Dallas-TX-75206/26747325_zpid/,135000,Condo,Lower greenville areaVibrant atmosphereDiverse dining options,"Condo is in a great location convenient to shopping and easy access to 75. Easy access by bike to White Rock Lake and Katy Trail.
The Lower Greenville area in Dallas, Texas, is popular for its vibrant atmosphere, diverse dining options, and entertainment. Living there provides access to a range of restaurants, shops, and nightlife. Additionally, its proximity to Southern Methodist University (SMU) could be convenient for students or those affiliated with the university. 
Seller will install flooring of buyers choice with a price of up to $1,000
1st story unit with a patio. Easy access from parking. 
Why rent when you can buy such an affordable condo like this one :)
Buyers get with your agent to buy this deal before its gone !Chevron DownShow more",1, ,923,61,8 ,,,,,,"Kitchen Island, Walk-In Closet(s)",,1,179467,00000393485180000,,,1968,,,Terrace Condos,3%,,1,,1,,1,,,,,Yes,423.0,,,,,,
18104 Aramis Ln,Dallas,TX,75252,32.995876,-96.77676,2326,https://www.zillow.com/homedetails/18104-Aramis-Ln-Dallas-TX-75252/26593018_zpid/,594000,House,Vaulted ceilingsLarge game roomQuarter acre corner lotSpectacular poolDiving boardUpdated bathWet bar,"One story on a quarter acre corner lot with spectacular pool in a prime North Dallas location within the prestigious Plano school district.  Split bedrooms, light and bright windows, gorgeous kitchen with breakfast bar, vaulted ceilings, large game room, and living room with wet bar and fireplace. The master suite has an updated bath and sitting area and opens to the pool.  The breakfast room opens onto a secluded covered patio perfect for your morning coffee. The backyard covered patio leads to a very large L shaped pool with diving board and gazebo with a grill, offering the perfect retreat. Situated on a vast corner lot, enjoy unmatched privacy. Beautiful neighborhood close to shopping, restaurants and more. The Preston Ridge walking and biking trail is easily accessible through the neighborhood. See virtual tour video for more details. New carpet to be installed by Thanksgiving.Chevron DownShow more",3,3,1540,74,14 , 13 x 11,"Carpet, Ceramic Tile, Wood","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Dishwasher, Electric Oven, Gas Cooktop, Disposal, Gas Water Heater, Microwave, Plumbed For Gas, Vented Exhaust Fan, Water Purifier, Wine Cooler",,,1,10454 ,R023401400801," Traditional , DetachedProperty ",SingleFamily,1982," Electricity Connected, Natural Gas Available, Overhead Utilities, Sewer Available, Separate Meters, Underground Utilities, Water Available, Cable Available","Security System Owned, Security System, Fire Alarm, Smoke Detector(s), Security Lights",The Highlands,3%,,2,2,2,"Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,"Skylight(s), Window Coverings"," Wet Bar, Built-in Features, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Paneling/Wainscoting, Cable TV, Vaulted Ceiling(s), Natural Woodwork, Walk-In Closet(s), Wired for Sound",,,,
9696 Walnut St #2004,Dallas,TX,75243,32.922676,-96.72171,903,https://www.zillow.com/homedetails/9696-Walnut-St-2004-Dallas-TX-75243/26899531_zpid/,100000,Condo,Full sized washerLaminate flooringVinyl plank flooring downstairsGranite kitchen countertop,"Nicely updated 2 bedroom 1.5 bath condo located between Hong Kong Supermarket and Richland College. Condo features vinyl plank flooring downstairs and laminate flooring in 2 bedrooms upstairs, granite kitchen countertop, full sized washer and dryer. Ready for new owners!Chevron DownShow more",2,2,1593,84,62 , 1 x 1,"Laminate, Luxury Vinyl Plank","Central, Electric","Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Range, Disposal, Refrigerator",,OpenHas uncovered spaces: Yes,2,361548,0021M670000T02004, TraditionalProperty ,Condo,1981," Sewer Available, Water Available",,Trinity Meadows Condos,2.5%, 1 x 1,,,,Community Mailbox,,,," Washer Hookup, Electric Dryer Hookup, In Kitchen",,Yes,321.0,Window Coverings, Granite Counters,,,,
16007 Ranchita Dr,Dallas,TX,75248,32.965527,-96.80116,5319,https://www.zillow.com/homedetails/16007-Ranchita-Dr-Dallas-TX-75248/26889384_zpid/,1375000,House,Sleek designFull game roomOutdoor living spacesFancy finishesNew flooringNew electricalNew roof,"Prestonwood Prestige and a great price just in time for the Holidays!   Entertain family and friends in a gourmet kitchen with fancy finishes like a wine fridge, huge island, and connected outdoor spaces!  A 5 bed, 5 bath LUXURY home in a private park like setting.  First floor Multi-level primary suite, fireplace, sitting area and huge walk-in closets. 2016, new roof, new pool, new flooring, new electrical, 3 new HVAC units.  Two expansive living areas each with fireplace. Upstairs is an amazing fifth bedroom suite w sitting area, full game room, and wet bar, or create your own Library or Study, whatever your busy lifestyle demands - this home has an incredibly versatile layout!  Sleek design and quality finish out make this home a great value in this sought after North Dallas neighborhood.  And, if you love outdoor living spaces, the gorgeous pool and beautifully landscaped courtyard are beckoning for your BBQ cookout or stargazing on the expansive deck surrounded by natural beauty.Chevron DownShow more",5,5,2176,80,81 , 19 x 15,"Carpet, Tile",,,"Some Gas Appliances, Built-In Refrigerator, Double Oven, Dishwasher, Electric Cooktop, Electric Oven, Disposal, Plumbed For Gas",,,2,18295,00000820468280000, DetachedProperty ,SingleFamily,1979," Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",,Prestonwood Creek,3%, 17 x 14,3,3,3,"Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup",,,,Window Coverings," Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Loft, Cable TV, Vaulted Ceiling(s), Walk-In Closet(s)",,,,
3519 S Versailles Ave,Dallas,TX,75209,32.828309999999995,-96.82321,3727,https://www.zillow.com/homedetails/3519-S-Versailles-Ave-Dallas-TX-75209/26698710_zpid/,1250000,House,Pool-sized backyardSpacious sky deckMultigenerational livingOpen kitchenDesign districtExpansive viewsExtraordinary primary bath,"This innovative design combines an artful residence AND versatile 1-bedroom suite with a private entry. Perfect for multigenerational living, operating a business, generating rental income or hosting events this layout provides an array of opportunity for those that live vivaciously! At the same time those searching for a beautiful home with a pool-sized backyard, open kitchen and extraordinary amounts of natural light will be impressed with the sophistication of this design. Bonus features include an extraordinary primary bath and closet, a spacious sky deck with expansive views, and a magnificent floating staircase that ascends through space as an architectural masterpiece. Savvy real estate investors will recognize the quality of construction and how it creates a quiet oasis surrounded by new development. Convenient to Oaklawn, Uptown & the Design District, this one is poised to appreciate rapidly. Buyer to verify special use permits with City.Chevron DownShow more",3,5,1892,141,89 , 17 x 15,Wood,"Central, Natural Gas, Zoned","Central Air, Zoned","Built-In Gas Range, Convection Oven, Double Oven, Dishwasher, Gas Cooktop, Disposal, Microwave, Refrigerator, Wine Cooler","Double Vanity, Eat-in Kitchen, High Speed Internet, Kitchen Island, Multiple Staircases, Pantry, Cable TV, Walk-In Closet(s)",,2,7405 ,00000217786000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2022," Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",,La Foy,3%, 15 x 13,2,2,2,Curbs,,,,,,,,,,,,,
1715 Alaska Ave,Dallas,TX,75216,32.727123,-96.81595,1168,https://www.zillow.com/homedetails/1715-Alaska-Ave-Dallas-TX-75216/26715207_zpid/,250000,House,Close to downtownNice deckNew floors,"Here is a nice home with 3 bedrooms, 1 bathroom and a nice fire place. The backyard does have a shed that needs some work but with the right buyer anything is possible.  There is also plenty of room in the backyard for a nice deck or patio etc. The home recently was painted and new floors were installed. It needs a bit of TLC but can be a very attractive home. Close to downtown and major freeways. The home is being sold AS IS. The sellers are very MOTIVATED!!!Chevron DownShow more",3,1,475,15,3 , 0 x 0,,,,,Other,Converted Garage,1,7492 ,00000281797000000, DetachedProperty ,SingleFamily,1948," Sewer Available, Water Available",,Trinity Heights Add 02,2.5%,,,,,,,,,,,,,,,,,,
